Win%, SOS, PPG, APPG, FG%, 3P%, FT%, ORB, Rebounds, Assists, Steals, Blocks, Turnovers, PF, Output (1 for win, 0 for loss)
-0.036000, 1.480000, -8.068750, -4.220833, -0.063000, 0.045000, -0.022000, 3.435417, -1.189583, -1.881250, 0.962500, 0.887500, -0.531250, 0.818750, 1
0.058000, 2.030000, 6.837500, 7.247917, 0.051000, 0.059000, -0.023000, -1.845833, -4.533333, 2.962500, 0.931250, -0.956250, 0.843750, -0.868750, 1
0.152000, 0.220000, 1.525000, -5.283333, 0.035000, 0.081000, -0.032000, 0.654167, -3.752083, 2.337500, 1.056250, -1.237500, -1.375000, 0.225000, 1
0.213000, -1.790000, 8.100000, -1.053333, 0.033000, 0.060000, -0.055000, 3.186667, 2.086667, 1.940000, 3.820000, 1.820000, 2.420000, 1.620000, 1
0.352000, -4.530000, 12.996774, 0.853763, 0.061000, 0.049000, -0.060000, 4.240860, 2.353763, 3.545161, 3.254839, -0.267742, 2.467742, 0.970968, 1
0.308000, 12.350000, 17.483333, 1.550000, 0.055000, 0.090000, -0.008000, 4.508333, 2.716667, 5.900000, 1.983333, 1.450000, -1.625000, 1.016667, 1
0.036000, -1.480000, 8.068750, 4.220833, 0.063000, -0.045000, 0.022000, -3.435417, 1.189583, 1.881250, -0.962500, -0.887500, 0.531250, -0.818750, 0
0.281000, -5.420000, 17.562500, 1.250000, 0.088000, -0.004000, 0.015000, -0.718750, 2.250000, 5.125000, 3.000000, 0.031250, 1.531250, 0.218750, 1
0.211000, -4.730000, 16.029356, 4.596591, 0.077000, 0.008000, 0.081000, -2.605114, -1.692235, 4.902462, 3.179924, -2.278409, -0.332386, 1.190341, 1
0.259000, -2.620000, 15.001008, 1.461694, 0.077000, 0.007000, 0.090000, 0.676411, 1.414315, 3.136089, 0.969758, -0.510081, 1.031250, 0.926411, 1
0.376000, -2.940000, 16.450231, -0.164352, 0.106000, 0.027000, -0.015000, -0.561343, 1.415509, 5.484954, 0.789352, -0.817130, 1.068287, 1.540509, 1
0.289000, 14.430000, 17.408750, 0.007500, 0.122000, 0.001000, 0.025000, -0.888750, 0.876250, 6.701250, 1.417500, -0.387500, -0.848750, -2.958750, 1
-0.281000, 5.420000, -17.562500, -1.250000, -0.088000, 0.004000, -0.015000, 0.718750, -2.250000, -5.125000, -3.000000, -0.031250, -1.531250, -0.218750, 0
-0.133000, 0.090000, -2.415179, 3.366071, -0.021000, -0.009000, -0.054000, 0.821429, -2.558036, -2.165179, 0.651786, -1.397321, -0.750000, 1.348214, 1
-0.100000, 1.330000, -6.260417, -1.653409, 0.026000, 0.020000, 0.007000, -2.613636, -5.790720, -0.404356, -3.547348, -1.552083, -3.378788, -2.210227, 1
-0.140000, 17.710000, -2.317888, 7.989224, 0.012000, 0.028000, 0.037000, -1.594828, -1.197198, -4.033405, -4.786638, -0.184267, -3.086207, -3.040948, 1
-0.053000, 4.110000, -4.704861, -0.192130, -0.022000, -0.001000, -0.010000, 0.305556, -4.278935, -2.491898, 0.344907, -0.033565, -2.685185, -1.937500, 1
0.152000, -0.140000, 3.977679, -2.669643, 0.035000, 0.051000, -0.012000, -1.107143, -2.522321, -2.200893, 0.473214, -1.933036, -2.500000, -3.723214, 1
-0.058000, -2.030000, -6.837500, -7.247917, -0.051000, -0.059000, 0.023000, 1.845833, 4.533333, -2.962500, -0.931250, 0.956250, -0.843750, 0.868750, 0
0.269000, -5.450000, 5.607955, -9.417614, -0.001000, -0.003000, -0.031000, 4.191288, 6.166667, -0.607955, 2.180871, 1.141098, -0.949811, -0.819129, 1
0.232000, -3.220000, 1.241071, -11.924107, -0.007000, 0.004000, -0.051000, 4.133929, 5.142857, -1.026786, -0.138393, -0.379464, -0.665179, 3.361607, 1
0.304000, -7.130000, 6.812500, -9.388393, -0.014000, 0.042000, 0.095000, 4.598214, 5.214286, 0.223214, 0.361607, -0.486607, -0.808036, 0.468750, 1
0.171000, 10.190000, 5.173611, -12.966435, -0.015000, 0.033000, 0.060000, 3.793981, 5.907407, 0.196759, 1.005787, 2.100694, -2.232639, -1.438657, 1
0.133000, -0.090000, 2.415179, -3.366071, 0.021000, 0.009000, 0.054000, -0.821429, 2.558036, 2.165179, -0.651786, 1.397321, 0.750000, -1.348214, 0
0.101000, 2.090000, -1.338571, -4.128571, 0.008000, 0.005000, 0.028000, -1.951429, 0.744286, 1.301429, -2.994286, -0.901429, -3.110000, -3.645714, 1
0.166000, 2.110000, -5.937192, -10.135468, 0.023000, 0.034000, 0.018000, -2.450739, -0.915025, 3.717980, -3.472906, 1.247537, -0.094828, -2.699507, 1
0.167000, 20.280000, 1.936813, -4.390110, 0.038000, 0.105000, 0.070000, -3.109890, -3.458791, 3.744505, -2.714286, -0.244505, -4.096154, -3.170330, 1
-0.211000, 4.730000, -16.029356, -4.596591, -0.077000, -0.008000, -0.081000, 2.605114, 1.692235, -4.902462, -3.179924, 2.278409, 0.332386, -1.190341, 0
0.008000, 1.000000, 2.629049, -0.943574, 0.000000, -0.017000, -0.062000, 2.567398, 6.917450, 0.464995, -2.414838, 1.539185, 1.363636, 0.125392, 1
0.058000, 0.390000, 1.906061, -1.909091, 0.036000, 0.018000, -0.067000, 0.536364, 1.381818, 0.045455, -2.142424, 1.124242, 0.396970, -0.242424, 1
-0.081000, 11.130000, -0.996090, 0.607038, -0.011000, -0.007000, -0.064000, 1.410557, 2.719453, 0.233627, -2.210166, 2.123167, 2.041056, -0.618768, 1
